position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	2000	0.006450713618	20370.86783	4	0.002	0.006450713618
1000	1001	2000	0.005932445273	21019.54332	4	0.002	0.005932445273
2000	2001	2000	0.007544442222	21168.90366	4	0.002	0.007544442222
3000	3001	2000	0.009181849299	21291.12685	4	0.002	0.009181849299
4000	4001	2000	0.01074352398	20058.52046	4	0.002	0.01074352398
5000	5001	2000	0.01209278103	19214.79548	5	0.0025	0.01209278103
6000	6001	2000	0.01300864793	18384.65182	5	0.0025	0.01300864793
7000	7001	2000	0.01349955748	17842.30335	5	0.0025	0.01349955748
8000	8001	2000	0.01375921382	17951.17775	5	0.0025	0.01375921382
9000	9001	2000	0.01395539069	18090.83292	5	0.0025	0.01395539069
10000	10001	2000	0.01411014651	18264.52215	5	0.0025	0.01411014651
11000	11001	2000	0.01420396966	18190.00699	5	0.0025	0.01420396966
12000	12001	2000	0.01428604983	18713.50265	5	0.0025	0.01428604983
13000	13001	2000	0.01432516082	19558.68418	5	0.0025	0.01432516082
14000	14001	2000	0.01436649069	20553.14478	5	0.0025	0.01436649069
15000	15001	2000	0.01443793263	21434.67509	5	0.0025	0.01443793263
16000	16001	2000	0.01455899121	21774.59516	5	0.0025	0.01455899121
17000	17001	2000	0.01468778466	21936.82738	5	0.0025	0.01468778466
18000	18001	2000	0.0148278156	22073.2442	5	0.0025	0.0148278156
19000	19001	2000	0.01501348043	21627.33238	5	0.0025	0.01501348043
20000	20001	2000	0.01519604616	22173.82487	6	0.003	0.01519604616
21000	21001	2000	0.01535184725	23568.9292	6	0.003	0.01535184725
22000	22001	2000	0.01544497277	24393.50677	6	0.003	0.01544497277
23000	23001	2000	0.01551893482	25504.69043	6	0.003	0.01551893482
24000	24001	2000	0.01554166046	26928.94852	6	0.003	0.01554166046
25000	25001	2000	0.01555276331	27306.07284	6	0.003	0.01555276331
26000	26001	2000	0.01557017979	28477.16374	7	0.0035	0.01557017979
27000	27001	2000	0.01559020979	28849.35503	7	0.0035	0.01559020979
28000	28001	2000	0.01562836555	28862.82448	7	0.0035	0.01562836555
29000	29001	2000	0.01567023149	29243.20421	7	0.0035	0.01567023149
30000	30001	2000	0.01569117242	29311.13783	7	0.0035	0.01569117242
31000	31001	2000	0.01566168936	28776.66523	7	0.0035	0.01566168936
32000	32001	2000	0.01558170527	28546.39658	7	0.0035	0.01558170527
33000	33001	2000	0.01548336533	28180.53428	7	0.0035	0.01548336533
34000	34001	2000	0.0153730082	28151.67059	7	0.0035	0.0153730082
35000	35001	2000	0.0152536384	28625.15265	7	0.0035	0.0152536384
36000	36001	2000	0.01514400707	29654.18687	7	0.0035	0.01514400707
37000	37001	2000	0.01510142407	29776.08063	7	0.0035	0.01510142407
38000	38001	2000	0.01515426403	29036.08386	7	0.0035	0.01515426403
39000	39001	2000	0.01520561065	28060.0944	7	0.0035	0.01520561065
40000	40001	2000	0.0152488972	26860.66755	7	0.0035	0.0152488972
41000	41001	2000	0.01531047767	26584.58384	7	0.0035	0.01531047767
42000	42001	2000	0.01535755354	25615.03787	7	0.0035	0.01535755354
43000	43001	2000	0.0154013971	25164.78782	7	0.0035	0.0154013971
44000	44001	2000	0.01543869346	24556.09218	7	0.0035	0.01543869346
45000	45001	2000	0.01548092477	22899.91668	7	0.0035	0.01548092477
46000	46001	2000	0.01552433006	21397.40347	7	0.0035	0.01552433006
47000	47001	2000	0.01555827597	19636.12493	7	0.0035	0.01555827597
48000	48001	2000	0.01555704505	19014.70351	7	0.0035	0.01555704505
49000	49001	2000	0.01553523306	18779.15842	7	0.0035	0.01553523306
50000	50001	2000	0.01555333218	18461.5412	7	0.0035	0.01555333218
51000	51001	2000	0.01561394163	17558.02186	7	0.0035	0.01561394163
52000	52001	2000	0.01567604366	16744.96689	7	0.0035	0.01567604366
53000	53001	2000	0.01577141829	15982.088	7	0.0035	0.01577141829
54000	54001	2000	0.01598715358	15266.60798	7	0.0035	0.01598715358
55000	55001	2000	0.01625371689	15378.18279	7	0.0035	0.01625371689
56000	56001	2000	0.0165208021	16233.8702	7	0.0035	0.0165208021
57000	57001	2000	0.01677145906	16897.96814	7	0.0035	0.01677145906
58000	58001	2000	0.01705240524	16354.82587	7	0.0035	0.01705240524
59000	59001	2000	0.01744850273	15451.1382	7	0.0035	0.01744850273
60000	60001	2000	0.01815426739	14564.27582	7	0.0035	0.01815426739
61000	61001	2000	0.0189680472	13697.88083	7	0.0035	0.0189680472
62000	62001	2000	0.0198323077	13324.8728	7	0.0035	0.0198323077
63000	63001	2000	0.02067254781	13458.93256	7	0.0035	0.02067254781
64000	64001	2000	0.02143052586	13229.2109	7	0.0035	0.02143052586
65000	65001	2000	0.02201352177	12540.72416	7	0.0035	0.02201352177
66000	66001	2000	0.02234431805	12108.39638	7	0.0035	0.02234431805
67000	67001	2000	0.02241958427	11994.86989	7	0.0035	0.02241958427
68000	68001	2000	0.02226609141	11213.40649	7	0.0035	0.02226609141
69000	69001	2000	0.02196734961	10976.15677	7	0.0035	0.02196734961
70000	70001	2000	0.02157958271	10464.7968	7	0.0035	0.02157958271
71000	71001	2000	0.02116692868	10053.81431	7	0.0035	0.02116692868
72000	72001	2000	0.02082371766	9337.784924	7	0.0035	0.02082371766
73000	73001	2000	0.02062782387	8732.939061	7	0.0035	0.02062782387
74000	74001	2000	0.02061793944	8373.561795	7	0.0035	0.02061793944
75000	75001	2000	0.02077859424	8317.141842	7	0.0035	0.02077859424
76000	76001	2000	0.02108573769	8422.85968	7	0.0035	0.02108573769
77000	77001	2000	0.02159901111	8274.692586	7	0.0035	0.02159901111
78000	78001	2000	0.02213861286	8129.601314	7	0.0035	0.02213861286
79000	79001	2000	0.0225584768	7987.760668	7	0.0035	0.0225584768
80000	80001	2000	0.02283339638	7909.49177	7	0.0035	0.02283339638
81000	81001	2000	0.02303259642	7988.154941	7	0.0035	0.02303259642
82000	82001	2000	0.02323812005	8197.620695	7	0.0035	0.02323812005
83000	83001	2000	0.02361213868	8136.082125	7	0.0035	0.02361213868
84000	84001	2000	0.02402272988	8134.595145	7	0.0035	0.02402272988
85000	85001	2000	0.02432052624	8307.51552	7	0.0035	0.02432052624
86000	86001	2000	0.02447467455	8660.322916	7	0.0035	0.02447467455
87000	87001	2000	0.02446466523	9091.471234	7	0.0035	0.02446466523
88000	88001	2000	0.02427298398	9732.907162	7	0.0035	0.02427298398
89000	89001	2000	0.02394585329	10414.00363	7	0.0035	0.02394585329
90000	90001	2000	0.02342684672	11143.67771	7	0.0035	0.02342684672
91000	91001	2000	0.0227990544	12011.24469	7	0.0035	0.0227990544
92000	92001	2000	0.02217209089	13149.32256	7	0.0035	0.02217209089
93000	93001	2000	0.02156129198	14165.95787	7	0.0035	0.02156129198
94000	94001	2000	0.02109511955	14765.7489	7	0.0035	0.02109511955
95000	95001	2000	0.02079074575	15135.12136	7	0.0035	0.02079074575
96000	96001	2000	0.02055660368	15546.88324	7	0.0035	0.02055660368
97000	97001	2000	0.02037904084	15875.97615	7	0.0035	0.02037904084
98000	98001	2000	0.02025095174	15694.55895	7	0.0035	0.02025095174
99000	99001	2000	0.02020130675	15357.22896	7	0.0035	0.02020130675
100000	100001	2000	0.0201393398	15538.00755	7	0.0035	0.0201393398
101000	101001	2000	0.02003050317	15913.91442	7	0.0035	0.02003050317
102000	102001	2000	0.01988982008	15482.42953	7	0.0035	0.01988982008
