position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
0	1	857	0.006331184079	20269.91291	1	0.001166861144	0.006331184079
10000	10001	857	0.01415665722	18168.15667	2	0.002333722287	0.01415665722
20000	20001	857	0.01518453887	22071.96831	3	0.003500583431	0.01518453887
30000	30001	857	0.01517440252	29122.43927	3	0.003500583431	0.01517440252
40000	40001	857	0.01522443673	27272.34557	3	0.003500583431	0.01522443673
50000	50001	857	0.0153966784	18343.96766	3	0.003500583431	0.0153966784
60000	60001	857	0.01846951052	14330.73725	3	0.003500583431	0.01846951052
70000	70001	857	0.02287925841	10336.43809	3	0.003500583431	0.02287925841
80000	80001	857	0.02363208966	7935.360161	3	0.003500583431	0.02363208966
90000	90001	857	0.02253786636	11292.59229	3	0.003500583431	0.02253786636
100000	100001	857	0.01906364398	15919.24562	3	0.003500583431	0.01906364398
110000	110001	857	0.01772150499	17930.99914	3	0.003500583431	0.01772150499
120000	120001	857	0.01675099475	25257.92286	3	0.003500583431	0.01675099475
130000	130001	857	0.01925425195	21287.73936	3	0.003500583431	0.01925425195
140000	140001	857	0.02200010003	14728.50658	3	0.003500583431	0.02200010003
150000	150001	857	0.02115647336	14949.20702	3	0.003500583431	0.02115647336
160000	160001	857	0.019177314	15560.89842	3	0.003500583431	0.019177314
170000	170001	857	0.01747197098	28519.7163	3	0.003500583431	0.01747197098
180000	180001	857	0.01789529973	30189.12588	3	0.003500583431	0.01789529973
190000	190001	857	0.01858333857	26909.02667	3	0.003500583431	0.01858333857
200000	200001	857	0.02006380366	19319.28542	3	0.003500583431	0.02006380366
210000	210001	857	0.02085765207	18206.94454	3	0.003500583431	0.02085765207
220000	220001	857	0.01885163546	22251.53406	3	0.003500583431	0.01885163546
230000	230001	857	0.01849359339	19955.47641	3	0.003500583431	0.01849359339
240000	240001	857	0.02084150988	18943.9833	3	0.003500583431	0.02084150988
250000	250001	857	0.02678665892	9564.764344	3	0.003500583431	0.02678665892
260000	260001	857	0.02574606103	7377.076495	3	0.003500583431	0.02574606103
270000	270001	857	0.02347397043	9242.111164	3	0.003500583431	0.02347397043
280000	280001	857	0.02083922382	8931.351191	3	0.003500583431	0.02083922382
290000	290001	857	0.01672371066	10984.05221	3	0.003500583431	0.01672371066
300000	300001	857	0.01603854215	11974.7517	2	0.002333722287	0.01603854215
310000	310001	857	0.01792314635	11376.10287	2	0.002333722287	0.01792314635
320000	320001	857	0.01583714006	10829.23405	1	0.001166861144	0.01583714006
330000	330001	857	0.01687054189	16254.27448	1	0.001166861144	0.01687054189
340000	340001	857	0.01873852678	13261.20455	1	0.001166861144	0.01873852678
350000	350001	857	0.02209784947	13865.59871	1	0.001166861144	0.02209784947
360000	360001	857	0.02054769162	10937.53855	1	0.001166861144	0.02054769162
370000	370001	857	0.01688189684	14285.89971	1	0.001166861144	0.01688189684
380000	380001	857	0.01395828247	13758.78392	1	0.001166861144	0.01395828247
390000	390001	857	0.01476456046	17827.92904	1	0.001166861144	0.01476456046
400000	400001	857	0.01421209356	15070.49448	2	0.002333722287	0.01421209356
410000	410001	857	0.0179921393	24456.85371	2	0.002333722287	0.0179921393
420000	420001	857	0.01378243354	24088.55983	2	0.002333722287	0.01378243354
430000	430001	857	0.01409010577	28872.18054	2	0.002333722287	0.01409010577
440000	440001	857	0.01214550094	39867.28952	2	0.002333722287	0.01214550094
450000	450001	857	0.01115554099	32553.33239	2	0.002333722287	0.01115554099
460000	460001	857	0.01176137366	22988.31883	2	0.002333722287	0.01176137366
470000	470001	857	0.0142468382	20815.06404	2	0.002333722287	0.0142468382
480000	480001	857	0.01988945087	14641.37939	2	0.002333722287	0.01988945087
490000	490001	857	0.02155240297	17081.21291	2	0.002333722287	0.02155240297
500000	500001	857	0.01726901027	22464.20455	1	0.001166861144	0.01726901027
510000	510001	857	0.01706480532	14376.6255	1	0.001166861144	0.01706480532
520000	520001	857	0.01562185204	15929.39127	1	0.001166861144	0.01562185204
530000	530001	857	0.01679657396	19153.65972	1	0.001166861144	0.01679657396
540000	540001	857	0.01706002927	20836.80387	1	0.001166861144	0.01706002927
550000	550001	857	0.01608810345	20315.97767	1	0.001166861144	0.01608810345
560000	560001	857	0.01343021019	17492.50475	1	0.001166861144	0.01343021019
570000	570001	857	0.01594356189	16772.48098	1	0.001166861144	0.01594356189
580000	580001	857	0.01615143744	24888.46994	1	0.001166861144	0.01615143744
590000	590001	857	0.01426395992	24614.94211	1	0.001166861144	0.01426395992
600000	600001	857	0.015244732	19842.41263	1	0.001166861144	0.015244732
610000	610001	857	0.01200616156	20493.46138	1	0.001166861144	0.01200616156
620000	620001	857	0.01274466319	19868.83658	1	0.001166861144	0.01274466319
630000	630001	857	0.01490479328	21720.30913	2	0.002333722287	0.01490479328
640000	640001	857	0.01639608441	14367.36061	2	0.002333722287	0.01639608441
650000	650001	857	0.02071928859	14101.5504	2	0.002333722287	0.02071928859
660000	660001	857	0.02041852135	19408.51017	2	0.002333722287	0.02041852135
670000	670001	857	0.02627722646	21590.34929	3	0.003500583431	0.02627722646
680000	680001	857	0.02807481879	14893.44531	3	0.003500583431	0.02807481879
690000	690001	857	0.02438925662	16398.46242	5	0.005834305718	0.02438925662
700000	700001	857	0.02445294662	18359.78976	5	0.005834305718	0.02445294662
710000	710001	857	0.02388007256	12224.42014	5	0.005834305718	0.02388007256
720000	720001	857	0.02283186667	13046.08293	5	0.005834305718	0.02283186667
730000	730001	857	0.01914767256	11505.65251	5	0.005834305718	0.01914767256
740000	740001	857	0.01772710395	23057.49933	5	0.005834305718	0.01772710395
750000	750001	857	0.01816990332	14257.2439	5	0.005834305718	0.01816990332
760000	760001	857	0.01952678062	11772.53988	6	0.007001166861	0.01952678062
770000	770001	857	0.01650143943	19353.22555	6	0.007001166861	0.01650143943
780000	780001	857	0.01994821805	28477.36076	6	0.007001166861	0.01994821805
790000	790001	857	0.02021403442	22160.08638	6	0.007001166861	0.02021403442
800000	800001	857	0.01990638617	16925.50205	6	0.007001166861	0.01990638617
810000	810001	857	0.01880801178	13102.3544	6	0.007001166861	0.01880801178
820000	820001	857	0.02201488502	13190.80539	6	0.007001166861	0.02201488502
830000	830001	857	0.02133539756	24384.68122	6	0.007001166861	0.02133539756
840000	840001	857	0.02124462658	31202.47681	7	0.008168028005	0.02124462658
850000	850001	857	0.02011480973	16643.16911	7	0.008168028005	0.02011480973
860000	860001	857	0.02062314939	13358.2721	5	0.005834305718	0.02062314939
870000	870001	857	0.01835802574	14989.65164	5	0.005834305718	0.01835802574
880000	880001	857	0.01741854511	22596.63791	5	0.005834305718	0.01741854511
890000	890001	857	0.01814411749	17882.1832	5	0.005834305718	0.01814411749
900000	900001	857	0.02339250056	12775.86228	7	0.008168028005	0.02339250056
910000	910001	857	0.02421760322	22306.64655	7	0.008168028005	0.02421760322
920000	920001	857	0.02702084251	15943.12596	7	0.008168028005	0.02702084251
930000	930001	857	0.0259365128	13209.88694	6	0.007001166861	0.0259365128
940000	940001	857	0.02385819523	9199.513039	6	0.007001166861	0.02385819523
950000	950001	857	0.021996809	19700.00014	6	0.007001166861	0.021996809
960000	960001	857	0.02324234436	11582.87704	6	0.007001166861	0.02324234436
970000	970001	857	0.02759321175	17859.39864	6	0.007001166861	0.02759321175
980000	980001	857	0.0246245402	16047.1154	6	0.007001166861	0.0246245402
990000	990001	857	0.02198940027	16569.01534	6	0.007001166861	0.02198940027
1000000	1000001	857	0.02118139348	22275.46163	6	0.007001166861	0.02118139348
1010000	1010001	857	0.02041667505	22031.00567	6	0.007001166861	0.02041667505
1020000	1020001	857	0.02165412942	21372.65744	6	0.007001166861	0.02165412942
1030000	1030001	857	0.02779011085	16128.90216	6	0.007001166861	0.02779011085
1040000	1040001	857	0.02889809506	10297.43169	6	0.007001166861	0.02889809506
1050000	1050001	857	0.02848616357	8028.566861	6	0.007001166861	0.02848616357
1060000	1060001	857	0.02397097238	13710.15437	6	0.007001166861	0.02397097238
1070000	1070001	857	0.01904752	12932.04869	6	0.007001166861	0.01904752
1080000	1080001	857	0.01842956871	17272.90396	6	0.007001166861	0.01842956871
1090000	1090001	857	0.02058148376	16246.48933	7	0.008168028005	0.02058148376
1100000	1100001	857	0.02382519075	17373.53792	7	0.008168028005	0.02382519075
1110000	1110001	857	0.02571464818	17020.56031	7	0.008168028005	0.02571464818
